"","X","month","age","serostatus","serotype","outcome","trial","Y","year"
"103",103,"48","all","seronegative","DENV3","hosp","vaccine",0,"4"
"104",104,"48","all","seronegative","DENV4","hosp","vaccine",0,"4"
"105",105,"54","all","seropositive","DENV1","hosp","placebo",0,"4.5"
"106",106,"54","all","seropositive","DENV2","hosp","placebo",2,"4.5"
"107",107,"54","all","seropositive","DENV3","hosp","placebo",0,"4.5"
"108",108,"54","all","seropositive","DENV4","hosp","placebo",0,"4.5"
"109",109,"54","all","seronegative","DENV1","hosp","placebo",0,"4.5"
"110",110,"54","all","seronegative","DENV2","hosp","placebo",0,"4.5"
"111",111,"54","all","seronegative","DENV3","hosp","placebo",0,"4.5"
"112",112,"54","all","seronegative","DENV4","hosp","placebo",0,"4.5"
"113",113,"54","all","seropositive","DENV1","hosp","vaccine",1,"4.5"
"114",114,"54","all","seropositive","DENV2","hosp","vaccine",0,"4.5"
"115",115,"54","all","seropositive","DENV3","hosp","vaccine",0,"4.5"
"116",116,"54","all","seropositive","DENV4","hosp","vaccine",0,"4.5"
"117",117,"54","all","seronegative","DENV1","hosp","vaccine",0,"4.5"
"118",118,"54","all","seronegative","DENV2","hosp","vaccine",0,"4.5"
"119",119,"54","all","seronegative","DENV3","hosp","vaccine",0,"4.5"
"120",120,"54","all","seronegative","DENV4","hosp","vaccine",0,"4.5"
"121",121,"24","all","seropositive","DENV1","hosp","placebo",11,"2"
"122",122,"24","all","seropositive","DENV2","hosp","placebo",43,"2"
