"","month","serostatus","trial","serotype","mean","lower","upper","year","N","avg_titre","lower_titre","upper_titre","sd_titre","SE_titre"
"37",-2,"SP","TAK","DENV-1",2404,2204,2622,-0.166666666666667,1816,3.3809344633307,3.34321159017975,3.41863268735407,0.819907201562014,0.019240075809775
"38",-2,"SP","Placebo","DENV-1",430,361,512,-0.166666666666667,902,2.63346845557959,2.55750720190566,2.70926996097583,1.16273947026474,0.0387149895587176
"39",-2,"SN","TAK","DENV-1",118,106,131,-0.166666666666667,702,2.07188200730613,2.02530586526477,2.11727129565576,0.621594404986361,0.0234605689772944
"40",-2,"SN","Placebo","DENV-1",5.8,5.3,6.3,-0.166666666666667,345,0.763427993562937,0.724275869600789,0.799340549453582,0.355679731255208,0.0191491530236716
"41",0,"SP","TAK","DENV-1",1947,1793,2114,0,1816,3.28936595152003,3.25358028956218,3.32510498297141,0.777549166119892,0.0182460952574552
"42",0,"SP","Placebo","DENV-1",410,350,482,0,902,2.61278385671974,2.54406804435028,2.68304703823885,1.06479588748915,0.035453824971575
"43",0,"SN","TAK","DENV-1",91,82,102,0,702,1.95904139232109,1.91381385238372,2.00860017176192,0.640660795521158,0.0241801835148471
"44",0,"SN","Placebo","DENV-1",5.9,5.4,6.3,0,345,0.770852011642144,0.732393759822969,0.799340549453582,0.317214649964694,0.0170782626608707
"45",1,"SP","TAK","DENV-1",2115,1957,2286,0.0833333333333333,1816,3.32531037171106,3.291590825658,3.35907622605926,0.733637773279857,0.0172156633676687
"46",1,"SP","Placebo","DENV-1",454,383,536,0.0833333333333333,902,2.6570558528571,2.58319877396862,2.72916478969277,1.11832737385377,0.037236228501058
"47",1,"SN","TAK","DENV-1",184,169,201,0.0833333333333333,702,2.26481782300954,2.22788670461367,2.30319605742049,0.50901596555182,0.0192115695935754
"48",1,"SN","Placebo","DENV-1",6.3,5.7,7,0.0833333333333333,345,0.799340549453582,0.755874855672491,0.845098040014257,0.422767116180971,0.0227610164137157
"49",6,"SP","TAK","DENV-1",1446,1328,1573,0.5,1816,3.16016829295851,3.123198075032,3.19672872262329,0.799356012499706,0.0187578182630837
"50",6,"SP","Placebo","DENV-1",415,350,492,0.5,902,2.61804809671209,2.54406804435028,2.69196510276736,1.13312217312864,0.0377288414329297
"51",6,"SN","TAK","DENV-1",88,79,98,0.5,702,1.94448267215017,1.89762709129044,1.9912260756925,0.632635597630168,0.0238772919392994
"52",6,"SN","Placebo","DENV-1",6.3,5.8,6.9,0.5,345,0.799340549453582,0.763427993562937,0.838849090737255,0.357368547052244,0.019240075809775
"53",12,"SP","TAK","DENV-1",1250,1145,1365,1,1816,3.09691001300806,3.05880548667591,3.13513265137677,0.829757115153207,0.0194712154849153
"54",12,"SP","Placebo","DENV-1",453,382,537,1,902,2.65609820201283,2.58206336291171,2.72997428569956,1.13322839583581,0.0377323782622058
"55",12,"SN","TAK","DENV-1",77,69,87,1,702,1.88649072517248,1.83884909073726,1.93951925261862,0.680429690901056,0.0256811637452457
"56",12,"SN","Placebo","DENV-1",6.9,6.1,7.8,1,345,0.838849090737255,0.785329835010767,0.89209460269048,0.505884577810963,0.0272359101223758
"57",24,"SP","TAK","DENV-1",1137,1035,1249,2,1816,3.05576046468773,3.01494034979294,3.09656243837414,0.887318545361151,0.0208219613727549
"58",24,"SP","Placebo","DENV-1",491,411,588,2,902,2.69108149212297,2.61384182187607,2.76937732607614,1.1916445830912,0.039677424540834
"59",24,"SN","TAK","DENV-1",73,63,84,2,702,1.86332286012046,1.79934054945358,1.92427928606188,0.844461003570632,0.0318721266857908
"60",24,"SN","Placebo","DENV-1",8.7,7.2,11,2,345,0.939519252618618,0.857332496431269,1.04139268515823,0.87213425261483,0.0469541297772849
"61",-3,"SP","TAK","DENV-2",753,681,833,-0.25,1816,2.8767949762007,2.83314711191279,2.92064500140679,0.951194724094235,0.0223208901770414
"62",-3,"SP","Placebo","DENV-2",805,699,927,-0.25,902,2.90579588036787,2.84447717574568,2.9670797341445,0.939326845921566,0.0312761628568407
"63",-3,"SN","TAK","DENV-2",5,5,5,-0.25,702,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"64",-3,"SN","Placebo","DENV-2",5,5,5,-0.25,345,0.698970004336019,0.698970004336019,0.698970004336019,0,0
"65",-2,"SP","TAK","DENV-2",6696,6300,7116,-0.166666666666667,1816,3.8258154449852,3.79934054945358,3.85223593941189,0.57502890810522,0.0134937219281392
"66",-2,"SP","Placebo","DENV-2",746,638,873,-0.166666666666667,902,2.87273882747267,2.80482067872116,2.94101424370557,1.04345515707324,0.0347432563735733
"67",-2,"SN","TAK","DENV-2",6277,5648,6977,-0.166666666666667,702,3.79775212865071,3.75189468804375,3.84366872297914,0.62030076297508,0.0234117436059685
"68",-2,"SN","Placebo","DENV-2",6.6,6,7.3,-0.166666666666667,345,0.819543935541869,0.778151250383644,0.863322860120456,0.403569499279438,0.0217274514634725
"69",0,"SP","TAK","DENV-2",4826,4571,5095,0,1816,3.68358731757277,3.66001122128933,3.70714418834245,0.512385268388707,0.0120237160849782
"70",0,"SP","Placebo","DENV-2",725,625,840,0,902,2.86033800657099,2.79588001734408,2.92427928606188,0.983738689293922,0.0327549154892363
"71",0,"SN","TAK","DENV-2",1682,1543,1833,0,702,3.22582599146189,3.18836592606315,3.26316246496222,0.505549856009359,0.0190807497191501
"72",0,"SN","Placebo","DENV-2",7.1,6.3,8,0,345,0.851258348719075,0.799340549453582,0.903089986991944,0.491597008525051,0.0264666932495821
"73",1,"SP","TAK","DENV-2",4897,4646,5163,0.0833333333333333,1816,3.68993010401822,3.66707920546422,3.71290212504722,0.498143664973055,0.0116895203017872
"74",1,"SP","Placebo","DENV-2",767,656,897,0.0833333333333333,902,2.88479536394898,2.81690383937566,2.95279244304409,1.04111867768158,0.0346654601194979
"75",1,"SN","TAK","DENV-2",1730,1614,1855,0.0833333333333333,702,3.2380461031288,3.20790353038605,3.26834391395106,0.408516592588263,0.0154184651951565
"76",1,"SN","Placebo","DENV-2",7.8,6.8,8.9,0.0833333333333333,345,0.89209460269048,0.832508912706236,0.949390006644913,0.553818868773561,0.0298166055966012
"77",6,"SP","TAK","DENV-2",3691,3496,3898,0.5,1816,3.56714404519566,3.54357142396237,3.5908418347816,0.513879427687313,0.0120587782702136
"78",6,"SP","Placebo","DENV-2",778,667,907,0.5,902,2.89097959698969,2.82412583391655,2.9576072870601,1.02267614973005,0.0340513911080474
"79",6,"SN","TAK","DENV-2",929,855,1009,0.5,702,2.96801571399364,2.93196611472817,3.00389116623691,0.486141470834298,0.0183482274256983
"80",6,"SN","Placebo","DENV-2",8.9,7.5,10,0.5,345,0.949390006644913,0.8750612633917,1,0.591998478476853,0.0318721266857908
"81",12,"SP","TAK","DENV-2",2999,2836,3170,1,1816,3.47697646575953,3.45270622651103,3.50105926221775,0.525648706776262,0.0123349580884496
"82",12,"SP","Placebo","DENV-2",745,636,873,1,902,2.87215627274829,2.80345711564841,2.94101424370557,1.05390217724205,0.0350911040962132
"83",12,"SN","TAK","DENV-2",656,601,717,1,702,2.81690383937566,2.77887447200274,2.8555191556678,0.518041467708029,0.0195522152206787
"84",12,"SN","Placebo","DENV-2",8.5,7.2,10,1,345,0.929418925714293,0.857332496431269,1,0.676002874157199,0.0363947713185539
"85",24,"SP","TAK","DENV-2",1657,1550,1771,2,1816,3.21932250841934,3.19033169817029,3.24821856119007,0.629291506540372,0.0147670568928019
"86",24,"SP","Placebo","DENV-2",561,479,657,2,902,2.74896286125616,2.68033551341456,2.81756536955978,1.05139476388286,0.0350076163635759
"87",24,"SN","TAK","DENV-2",356,320,397,2,702,2.55144999797288,2.50514997831991,2.59879050676312,0.632916393831885,0.023887889908982
"88",24,"SN","Placebo","DENV-2",9.8,7.9,12,2,345,0.991226075692495,0.897627091290441,1.07918124604762,0.860259886526366,0.0463148353972407
"89",-3,"SP","TAK","DENV-3",358,321,398,-0.25,1816,2.55388302664387,2.50650503240487,2.59988307207369,1.01511818391149,0.0238209284869428
